round,has_attacker,trusted_krum_s,adv_krum_s_avg,ben_krum_s_avg,adv_krum_s,ben_krum_s
62,True,15.3289014701454,36.59216809615757,20.92168271913015,[40.02833267 32.39383617 37.35433545],"[22.23307007 15.32890147 34.36435792 16.91666744 16.79426761 20.94141569
 19.87309883]"
63,True,18.23998338810886,37.61924004117113,24.314429447344512,[35.70938989 40.971879   35.21793624 36.20644261 39.99055246],[24.10103487 37.43865176 18.23998339 22.97330557 18.81917165]
64,True,12.554098048589907,16.161310593521915,24.391321103185152,[15.70314193 17.64297332 15.61273165 15.68639547],[12.55409805 41.194224   15.24445956 42.61522698 17.21948342 17.52043461]
65,True,14.570363281419905,20.62501685524621,25.299442322409064,[17.24523659 24.00479712],"[36.42492968 15.8773452  16.19361676 32.64444061 34.97774424 18.02051751
 33.68658129 14.57036328]"
66,False,5.872389991550296,10.730305804386857,7.95777833416471,[ 9.04121485  8.17146759 15.58211908 10.1264217 ],[ 6.11694175 11.88070454  5.87238999  9.3961574   6.29476831  8.18570802]
67,True,9.192935828522199,31.812208018092942,12.115874525252355,[29.82719102 28.35421327 37.25521977],"[13.47276822 14.99107564  9.21481802 11.27290986  9.19293583 14.57689154
 12.08972257]"
68,True,14.344257337541539,37.662265043878705,16.564227402388383,[47.05477388 36.26435657 33.67985181 33.65007791],[14.34425734 15.82119006 17.90739882 15.65612134 16.09246455 19.56393231]
69,True,7.013187355532619,22.421991300822175,10.864757673593346,[12.06304016 35.10052312 11.41787403 31.10652789],[11.4372415  10.89633512 11.80249208 11.73109965  7.01318736 12.30819034]
70,True,7.997652609361467,19.626498912053446,9.608063995647338,[ 9.37081352  9.82700322 32.57716104 32.2464161  14.11110068],[ 7.99765261 10.5158005   9.25632083 10.52046566  9.75008038]
71,True,19.45374552738066,36.272262574151284,24.988334023422745,[35.53017217 34.2517163  34.59898146 38.77289306 38.20754988],[37.1036115  25.32438914 21.77260122 19.45374553 21.28732273]
72,True,8.141775065778202,26.473225846325473,10.418685551872139,[12.84232294 29.11824384 27.67991748 36.25241913],[12.11587573  9.98628528 11.70743504  9.7172274  10.8435148   8.14177507]
